"methods","Stability","median","SD","ymax","ymin","SE","ErrRate"
"GMPR+glm",0.999219066816224,0.999899520632841,0.00369788148401357,0.999514958959884,0.998923174672563,0.000150965379418651,0
"Wrench+glm",0.999211483387696,0.999871137057401,0.00311885055068881,0.99946104340718,0.998961923368212,0.000127326540553098,0
"Wrench+DESeq2",0.999555602932149,0.99983403931868,0.000883009000038801,0.999626258367436,0.999484947496862,3.60486914730046e-05,0
"GMPR+DESeq2",0.999493794816834,0.999824756974443,0.00114552141716875,0.999585455620242,0.999402134013425,4.67657160248883e-05,0
"TSS+Wilcox",0.987818315456891,0.999651523897422,0.0469355345054179,0.991573940394764,0.984062690519017,0.00191613517238445,0
"GMPR+Wilcox",0.987962527832744,0.999650922366209,0.0422151594236077,0.991340444099348,0.98458461156614,0.00172342666663473,0
"Wrench+Wilcox",0.991444790993979,0.999591057491733,0.034111772463899,0.994174301261423,0.988715280726536,0.0013926072793079,0
"Rarefy+Wilcox",0.968383136287736,0.998911301989303,0.0962438497028265,0.976084248161069,0.960682024414403,0.00392913871088399,0
"Wrench+MSeq",0.969762694908964,0.99789373887311,0.069500875016319,0.97532392313755,0.964201466680378,0.00283736134111548,0
"eBay(t-test)",0.980102216964686,0.993693550389783,0.0447748490981284,0.983684951062303,0.976519482867068,0.00182792556000884,0
"Aldex2(Wilcox)",0.988041892359838,0.99117591417734,0.0106710789210392,0.988895756506314,0.987188028213362,0.000435644972691923,0
"corncob",0.975081551069865,0.990716528131327,0.0527649357420835,0.97930362525324,0.970859476886489,0.00215411948131412,0
"MaAsLin2",0.975953946786261,0.990517086178569,0.0529240924490792,0.980188756158532,0.97171913741399,0.0021606170266688,0
"Omnibus",0.963341944528248,0.988296722839943,0.0600523170398147,0.968147130659148,0.958536758397347,0.00245162557698982,0
"metagenomeSeq",0.951049418344065,0.985313188310853,0.0844589141016596,0.957807538974167,0.944291297713963,0.00344802072964368,0
"Aldex2(t-test)",0.980243875352515,0.982812545109748,0.0118707600663743,0.981193733983221,0.979294016721809,0.000484621750360402,0
"LDM",0.9665633625166,0.981356264624449,0.0562795708496712,0.971066666079734,0.962060058953466,0.00229760385874181,0
"Wrench+edgeR",0.975963689512894,0.977746137278209,0.0115013784158898,0.976883991455842,0.975043387569946,0.0004695418076265,0
"eBay(Wilcox)",0.956918585773948,0.9770703501508,0.0609272618969197,0.961793782074312,0.952043389473584,0.00248734505120615,0
"GMPR+edgeR",0.974446004024287,0.976934656045785,0.0120467705472951,0.975409946426669,0.973482061621904,0.000491807348154366,0
"ZicoSeq",0.947091496040771,0.970371777386173,0.0652941775035124,0.95231611836401,0.941866873717533,0.00266562363430529,0
"ANCOM-BC",0.934492765990795,0.964673389694194,0.0871457985921004,0.941465882156876,0.927519649824713,0.00355771232963331,0
"edgeR",0.946042830897503,0.950223413536215,0.0286822047078669,0.948337885261093,0.943747776533914,0.00117094610387212,0
"DESeq2",0.884933460620763,0.889140030710885,0.0405521653242815,0.88817830964574,0.881688611595787,0.00165553521682459,0
"RAIDA",0.527529992742769,0.552602682584989,0.225113026782321,0.545542786378395,0.509517199107144,0.00919020083450285,0
"DACOMP",0.52865634796234,0.528569007547885,0.104394761120153,0.537009668583434,0.520303027341245,0.00426189827606857,0
