"methods","value","median","SD","ymax","ymin","SE","ErrRate"
"LDM",146.146080942154,131.547850131989,58.8354394690221,154.300256833791,137.991905050517,4.16029382226362,0
"Aldex2(Wilcox)",57.7745590758324,57.9257655143738,6.38434420345977,58.6593840394527,56.8897341122121,0.451441307969543,0
"corncob",53.6129447603226,54.8864654302597,6.46155579012947,54.5084707039009,52.7174188167443,0.456900991621575,0
"eBay(Wilcox)",35.8414486944675,36.1100002527237,6.71173497644715,36.7716477042806,34.9112496846545,0.474591331537271,0
"ZicoSeq",27.9062492322922,27.4699982404709,2.41558145359059,28.2410317414553,27.5714667231291,0.170807402634237,0
"ANCOM-BC",22.9784379088879,24.2073540687561,7.71713166864043,24.0479777911921,21.9088980265837,0.545683613420511,0
"RAIDA",22.8401652705669,22.9113178253174,3.40152342067593,23.3115923648834,22.3687381762505,0.240524027712481,0
"Omnibus",19.7065523529053,19.9486426115036,2.70852896863334,20.0819353162544,19.3311693895561,0.191521920076084,0
"DACOMP",11.6148011291027,11.6979060173035,1.98714378057169,11.8902052062199,11.3393970519855,0.140512284243491,0
"GMPR+DESeq2",9.89786719083786,9.71921849250793,1.3055287479889,10.0788042440623,9.71693013761342,0.0923148230736931,0
"Wrench+MSeq",9.38726784229279,9.28891503810883,1.28246008616255,9.565007742104,9.20952794248157,0.0906836223526626,0
"GMPR+glm",3.8597579395771,3.79593634605408,0.822647203360937,3.97377102511715,3.74574485403705,0.0581699416020667,0
"MaAsLin2",3.50444583058357,3.44967269897461,0.789126633531924,3.6138132021655,3.39507845900165,0.0557996793785335,0
"TSS+Wilcox",1.53342717528343,1.38392102718353,0.471334903076902,1.59875086009385,1.46810349047302,0.0333284106175582,0
"Rarefy+Wilcox",1.36218909978867,1.32176530361176,0.347861391989419,1.41040022902965,1.31397797054768,0.024597514918871,0
"GMPR+Wilcox",1.24480079054832,1.22909939289093,0.219042354106383,1.27515851200364,1.21444306909301,0.0154886333955688,0
"GMPR+edgeR",1.24315314769745,1.05186140537262,0.432480211021791,1.30309184692618,1.18321444846872,0.0305809689942497,0
